noc21_code_name,posting_count,total_vacancies,valid_salary_postings,median_hourly_salary,salary_coverage_percentage,cluster,cluster_name
Other services supervisors,105,229,102,25.0,97.1,0,"Moderate demand, strong salary coverage"
Other small engine and small equipment repairers,32,37,21,25.46,65.6,0,"Moderate demand, strong salary coverage"
"Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts",96,96,10,31.595,10.4,1,"Higher salary, limited salary coverage"
Other technical occupations in therapy and assessment,117,123,92,25.0,78.6,0,"Moderate demand, strong salary coverage"
Other technical trades and related occupations,24,48,21,30.0,87.5,0,"Moderate demand, strong salary coverage"
Other trades helpers and labourers,185,318,148,25.0,80.0,0,"Moderate demand, strong salary coverage"
Outdoor sport and recreational guides,27,69,22,24.375,81.5,0,"Moderate demand, strong salary coverage"
Painters and decorators (except interior decorators),272,499,235,28.5,86.4,0,"Moderate demand, strong salary coverage"
Paralegals and related occupations,188,192,79,31.25,42.0,1,"Higher salary, limited salary coverage"
Paramedical occupations,269,317,229,33.235,85.1,0,"Moderate demand, strong salary coverage"
Payroll administrators,177,182,60,28.3475,33.9,1,"Higher salary, limited salary coverage"
Personnel clerks,43,44,23,26.0,53.5,0,"Moderate demand, strong salary coverage"
Pest controllers and fumigators,40,53,32,24.03846153846154,80.0,0,"Moderate demand, strong salary coverage"
Pet groomers and animal care workers,105,123,81,22.5,77.1,0,"Moderate demand, strong salary coverage"
Pharmacists,1099,1197,124,54.0,11.3,1,"Higher salary, limited salary coverage"
Pharmacy technical assistants and pharmacy assistants,526,544,213,20.0,40.5,1,"Higher salary, limited salary coverage"
Pharmacy technicians,394,394,84,34.515,21.3,1,"Higher salary, limited salary coverage"
"Physician assistants, midwives and allied health professionals",91,92,82,23.0,90.1,0,"Moderate demand, strong salary coverage"
Physiotherapists,497,539,382,48.28846153846154,76.9,0,"Moderate demand, strong salary coverage"
"Plasterers, drywall installers and finishers and lathers",212,567,211,30.0,99.5,0,"Moderate demand, strong salary coverage"
